,Rank,Song[A],Streams(billions),Artist(s),Release date,Ref(s)
0,1,"""Blinding Lights""",3.386,The Weeknd,29 November 2019,[8][9]
1,2,"""Shape of You""",3.362,Ed Sheeran,6 January 2017,[10]
2,3,"""Dance Monkey""",2.746,Tones And I,10 May 2019,[11]
3,4,"""Someone You Loved""",2.634,Lewis Capaldi,8 November 2018,[12]
4,5,"""Rockstar""",2.594,Post Malone featuring 21 Savage,15 September 2017,[13]
5,6,"""Sunflower""",2.538,Post Malone and Swae Lee,18 October 2018,[14][12]
6,7,"""One Dance""",2.522,Drake featuring Wizkid and Kyla,5 April 2016,[15][16]
7,8,"""Closer""",2.456,The Chainsmokers featuring Halsey,29 July 2016,[17][18]
8,9,"""Believer""",2.369,Imagine Dragons,1 February 2017,[19][20]
9,10,"""Stay""",2.365,The Kid Laroi and Justin Bieber,9 July 2021,[21]
10,11,"""Señorita""",2.336,Shawn Mendes and Camila Cabello,21 June 2019,[22][23]
11,12,"""Perfect""",2.312,Ed Sheeran,3 March 2017,[8]
12,13,"""Heat Waves""",2.261,Glass Animals,29 June 2020,[24][25]
13,14,"""Say You Won't Let Go""",2.229,James Arthur,9 September 2016,[26][27]
14,15,"""Bad Guy""",2.203,Billie Eilish,29 March 2019,[28][29]
15,16,"""Starboy""",2.180,The Weeknd featuring Daft Punk,21 September 2016,[30][9]
16,17,"""Thinking Out Loud""",2.154,Ed Sheeran,20 June 2014,[8]
17,18,"""Lucid Dreams""",2.148,Juice WRLD,4 May 2018,[31][32]
18,19,"""Don't Start Now""",2.136,Dua Lipa,1 November 2019,[33][34]
19,20,"""Lovely""",2.110,Billie Eilish and Khalid,19 April 2018,[35][29]
20,21,"""God's Plan""",2.102,Drake,19 January 2018,[16]
21,22,"""Watermelon Sugar""",2.096,Harry Styles,15 May 2020,[36][37]
22,23,"""Photograph""",2.067,Ed Sheeran,20 June 2014,[8]
23,24,"""Bohemian Rhapsody""",2.038,Queen,31 October 1975,[38][39]
24,25,"""Something Just Like This""",2.030,The Chainsmokers and Coldplay,22 February 2017,[18]
25,26,"""Shallow""",2.004,Lady Gaga and Bradley Cooper,27 September 2018,[40][41]
26,27,"""Love Yourself""",1.975,Justin Bieber,9 November 2015,[21]
27,28,"""Sweater Weather""",1.974,The Neighbourhood,28 March 2012,[42]
28,29,"""Sad!""",1.967,XXXTentacion,1 March 2018,[43][44]
29,30,"""Circles""",1.958,Post Malone,30 August 2019,[12]
30,31,"""Take Me to Church""",1.950,Hozier,13 September 2013,[45][46]
31,32,"""All of Me""",1.944,John Legend,12 August 2013,[47][48]
32,33,"""Thunder""",1.900,Imagine Dragons,27 April 2017,[20]
33,34,"""7 Rings""",1.895,Ariana Grande,18 January 2019,[49][50]
34,35,"""Goosebumps""",1.888,Travis Scott featuring Kendrick Lamar,2 September 2016,[51]
35,36,"""Jocelyn Flores""",1.883,XXXTentacion,31 October 2017,[44]
36,37,"""As It Was""",1.865,Harry Styles,1 April 2022,[52][37]
37,38,"""Havana""",1.848,Camila Cabello featuring Young Thug,3 August 2017,[53][54]
38,39,"""Stressed Out""",1.833,Twenty One Pilots,28 April 2015,[55]
39,40,"""XO Tour Llif3""",1.827,Lil Uzi Vert,24 March 2017,[56][57]
40,41,"""New Rules""",1.807,Dua Lipa,2 June 2017,[58][34]
41,42,"""Counting Stars""",1.805,OneRepublic,25 March 2013,[59][60]
42,43,"""Happier""",1.798,Marshmello and Bastille,17 August 2018,[61][62]
43,44,"""Wake Me Up""",1.790,Avicii,17 June 2013,[63][64]
44,45,"""Humble""",1.786,Kendrick Lamar,30 March 2017,[65][66]
45,46,"""Let Her Go""",1.785,Passenger,24 July 2012,[67][68]
46,47,"""Riptide""",1.778,Vance Joy,21 May 2013,[69][70]
47,48,"""Sicko Mode""",1.775,Travis Scott featuring Drake,3 August 2018,[51]
48,49,"""The Hills""",1.762,The Weeknd,27 May 2015,[71][9]
49,50,"""Can't Hold Us""",1.741,Macklemore & Ryan Lewis featuring Ray Dalton,16 August 2011,[72][73]
50,51,"""Sorry""",1.740,Justin Bieber,22 October 2015,[74][21]
51,52,"""Good 4 U""",1.732,Olivia Rodrigo,14 May 2021,[75][76]
52,53,"""Let Me Love You""",1.724,DJ Snake featuring Justin Bieber,5 August 2016,[77][78]
53,54,"""One Kiss""",1.719,Calvin Harris and Dua Lipa,6 April 2018,[79][34]
54,55,"""Lean On""",1.713,Major Lazer and DJ Snake featuring MØ,2 March 2015,[80][78]
55,56,"""Roses (Imanbek Remix)""",1.708,Saint Jhn with Imanbek,18 September 2019,[81][82]
56,57,"""Drivers License""",1.703,Olivia Rodrigo,8 January 2021,[83][76]
57,58,"""Treat You Better""",1.697,Shawn Mendes,3 June 2016,[23]
58,59,"""Better Now""",1.694,Post Malone,27 April 2018,[84][12]
59,60,"""Congratulations""",1.685,Post Malone featuring Quavo,4 November 2016,[12]
60,61,"""Faded""",1.683,Alan Walker,3 December 2015,[85][86]
61,62,"""Stay with Me""",1.682,Sam Smith,14 April 2014,[87][88]
62,63,"""Without Me""",1.666,Halsey,4 October 2018,[89][90]
63,64,"""Industry Baby""",1.657,Lil Nas X featuring Jack Harlow,23 July 2021,[91][92]
64,65,"""Uptown Funk""",1.653,Mark Ronson featuring Bruno Mars,10 November 2014,[93][94]
65,66,"""Memories""",1.651,Maroon 5,20 September 2019,[95][96]
66,67,"""Don't Let Me Down""",1.649,The Chainsmokers featuring Daya,5 February 2016,[18]
67,68,"""I Took a Pill in Ibiza (Seeb Remix)""",1.649,Mike Posner and Seeb,14 April 2015,[97][98]
68,69,"""Mr. Brightside""",1.646,The Killers,7 June 2004,[99][100]
69,70,"""Too Good at Goodbyes""",1.646,Sam Smith,8 September 2017,[101][88]
70,71,"""Demons""",1.643,Imagine Dragons,4 September 2012,[20]
71,72,"""Lose Yourself""",1.642,Eminem,28 October 2002,[102][103]
72,73,"""Thank U, Next""",1.634,Ariana Grande,3 November 2018,[104][50]
73,74,"""I Don't Care""",1.633,Ed Sheeran and Justin Bieber,10 May 2019,[105][21]
74,75,"""Levitating""",1.633,Dua Lipa featuring DaBaby,1 October 2020,[106][107]
75,76,"""Dakiti""",1.620,Bad Bunny and Jhay Cortez,30 October 2020,[108]
76,77,"""Montero (Call Me by Your Name)""",1.618,Lil Nas X,26 March 2021,[109][92]
77,78,"""Mood""",1.610,24kGoldn and Iann Dior,24 July 2020,[110]
78,79,"""Unforgettable""",1.595,French Montana featuring Swae Lee,7 April 2017,[111][34]
79,80,"""Despacito (Remix)""",1.593,Luis Fonsi and Daddy Yankee featuring Justin Bieber,17 April 2017,[112][113]
80,81,"""Do I Wanna Know?""",1.589,Arctic Monkeys,19 June 2013,[114][115]
81,82,"""Dynamite""",1.582,BTS,21 August 2020,[116][117]
82,83,"""Moonlight""",1.580,XXXTentacion,16 March 2018,[44]
83,84,"""Wonderwall""",1.568,Oasis,30 October 1995,[118][119]
84,85,"""The Box""",1.568,Roddy Ricch,6 December 2019,[120][121]
85,86,"""That's What I Like""",1.562,Bruno Mars,18 November 2016,[122][123]
86,87,"""'Till I Collapse""",1.548,Eminem featuring Nate Dogg,26 May 2002,[124][103]
87,88,"""There's Nothing Holdin' Me Back""",1.546,Shawn Mendes,20 April 2017,[125][23]
